Salesforce Field,Csv Header,Value,Hint
Windfall_Recent_Death_in_Family__c,Recent Death in Family,,
Windfall_Philanthropic_Focus__c,Regional Focus,,
Windfall_Boat_Owner__c,Boat Owner,,
Windfall_Plane_Owner__c,Plane Owner,,
Windfall_Trust_Association__c,Trust Association,,
Windfall_Foundation_Officer__c,Foundation Officer/Trustee,,
Windfall_Multi_property_Owner__c,Multi-property Owner,,
Windfall_Recently_Divorced__c,Recently Divorced,,
Windfall_Philanthropic_Giver__c,Philanthropic Giver,,
Windfall_Net_Worth_Last_Calculated_Date__c,Net Worth Last Calculated,,
Windfall_Philanthropic_Cause__c,NTEE Codes,,
Windfall_ID__c,Windfall Id,,
Windfall_Net_Worth__c,Net Worth,,
Windfall_Political_Donor__c,Political Donor,,
Windfall_Foundation_Association__c,Foundation Association,,
Windfall_Political_Affiliation__c,Political Party,,
Windfall_High_Confidence_Net_Worth__c,Net Worth High,,
Id,Record ID,,
Windfall_Low_Confidence_Net_Worth__c,Net Worth Low,,